month,pe_ratio,pe_ratio_lyr,pb_ratio,pcf_ratio
2008-01,-0.04746117511705128,-0.023830729768806846,-0.04023749103467433,0.01267269110713265
2008-02,0.02269259391083156,0.0014946766043357762,-0.0035787178182223878,0.030788857461314434
2008-03,-0.029890171331983684,-0.011753970307973538,-0.047477997993294885,-0.01104753876491138
2008-04,-0.038513939273263964,-0.03953345014083287,-0.009140945440149317,-0.017146274126133343
2008-05,0.03891595372408463,0.04863141584185704,-0.001288584296105788,-0.025811782293580166
2008-06,0.0524583844756179,0.040813775157595655,0.03269759904617153,0.0021829925493903612
2008-07,-0.005770434010552661,0.0012700964283076654,-0.028758330857132086,0.013236608465429178
2008-08,-0.011178859792712159,-0.041115747969498906,-0.0013754113489435893,0.01635065505607547
2008-09,-0.004991875763363018,-0.01135378971172274,-0.0028394238948528105,-0.01152665515772
2008-10,0.017238519865052204,0.015299290801523924,0.022575758364396847,-0.024284560971400193
2008-11,-0.009747115869291112,-0.016163367417827423,-0.016971866670574043,-0.0024839391452049497
2008-12,0.004388446642610733,0.004770044670471485,-0.002234714242862035,-0.004658020729682022
2009-01,-0.03760082640397566,-0.03412336256593618,-0.04031559059916623,-0.011426144881140354
2009-02,0.016121661102343143,0.004193701199410871,-0.025415868764928295,0.006287899255291496
2009-03,-0.005063791416449526,-0.026789705869767255,-0.02167284829712368,0.037696461036525575
2009-04,-0.004843546817422939,-0.008613111351342129,-0.01221275289414725,-0.02566034428337549
2009-05,0.003427446989664018,-0.007996293834170776,-0.027491198307383335,0.011368936706416033
2009-06,-0.018622695048049143,-0.02632528912550325,-0.02444632994293683,-0.00961787324147223
2009-07,0.012672308669463117,-0.041632303649470015,-0.09426909787416748,0.04445279722206896
2009-08,0.018275013581529942,0.058341430470645994,0.06218946860799046,-0.029686278691760992
2009-09,-0.012021402564867278,-0.01109163902054111,-0.002077786247778879,-0.035801018031660026
2009-10,0.0010268339269958737,-0.004131859088335577,-0.03219345924778316,-0.011157470577805584
2009-11,-0.012837558263706028,-0.010938372649673789,-0.04598633110809047,0.0015498395127655495
2009-12,-0.012557502424722089,-0.0003543494677288317,-0.03167070885696044,0.005621494697208185
2010-01,-0.011613953651386066,-0.0025401056804443822,0.004343629815773076,0.005587626989530747
2010-02,0.0006170395948985608,0.008084038156100037,-0.01111539069819989,-0.005530436378655135
2010-03,0.010392308646702153,7.121123967146481e-05,0.008752193645731765,0.013323719481163065
2010-04,0.03041530352697297,0.015792909309636283,0.028953981541403717,0.015727612980741323
2010-05,0.011941890317511694,0.010790734679139824,0.04890383167417944,0.004465553135773792
2010-06,-0.006493823310489311,0.005178733158762716,0.017689658840116973,-0.01842764052689394
2010-07,-0.013935782283451381,-0.02868901536888968,-0.04876674642632561,0.0121759993390671
2010-08,0.01687753692880478,0.016556911563567756,0.026342901424678322,0.000972266284338108
2010-09,0.016280588231989634,0.02008088188360202,0.003152220147101703,-0.0034590668874312502
2010-10,-0.04098816186030951,-0.026028299862659754,-0.008771985759495338,-0.005821240619542589
2010-11,0.02211533924317699,0.021867098031358,0.02660125760898069,-0.018552050634792816
2010-12,-0.009830216084299792,-0.005250921560928767,0.011691679652831688,-0.016419392695447232
2011-01,-0.027504625908513547,-0.02690396049397281,-0.05493398366242486,-0.026163747469573062
2011-02,0.005528871459934415,0.006492630397864518,0.010392577700670813,0.0011269245254967863
2011-03,-0.03838693474025745,-0.03255442881639947,-0.02864430037744392,-0.009578860159880631
2011-04,-0.006251734175624524,-0.009045320053833183,-0.029397726460355322,-0.0008800172570977427
2011-05,0.020012291279521977,0.022868179426579482,0.009040462006726147,0.009968763927562074
2011-06,0.00782413640183055,0.011052145596285534,0.019700528408231888,0.009469317948278544
2011-07,0.00318791137384844,-0.007167608061786068,0.029860252116432617,-0.005114163130345961
2011-08,-0.007288835389251291,-0.0011419870906009821,0.03513132905085059,-0.006149868750623511
2011-09,0.0016910683059063736,0.0037730761352103848,-0.010354214891339586,0.011112622883485246
2011-10,-0.001233926490426751,-0.003466636147396729,-0.03164869298346684,-0.010985488877599203
2011-11,-0.00344918705950914,0.016126731289237695,0.0034479017951245527,0.005484493371936239
2011-12,-0.030308798171289286,-0.016406212260106523,0.003557928042297931,-0.010193902172588087
2012-01,-0.022832713325382392,-0.02405906441671246,-0.02325014383178814,0.012659972167758271
2012-02,0.0024817938501071612,-0.009393851513747276,-0.03693135429029759,0.007798799440996929
2012-03,0.016944769358639977,0.01902727175680141,0.028114051341956214,0.022757496802856103
2012-04,-0.006655404691330968,-0.01845983484590874,-0.012161953996531416,0.008282278740022297
2012-05,0.025216793580951746,0.024701144490893334,0.03597323652602302,0.021451475634520323
2012-06,-0.007339093550894793,-1.7066131488996383e-05,0.01394494360066778,-0.009903768122844991
2012-07,0.0010924125520339611,-0.0014726213818596623,0.0035664458598321236,-0.004207115621749802
2012-08,-0.006885678000318141,0.01045923814595695,0.007281304389366916,-0.0122433913406087
2012-09,0.024244969571094233,0.017617655472946137,0.02005845511308557,0.05163238776783885
2012-10,-0.007164828117376065,-0.0051068615194497236,-0.023186025761066764,-0.015668191483331984
2012-11,-0.0359292915849021,-0.026334486687577874,-0.02041765750941238,-0.013412566991540142
2012-12,-0.038034563206909455,-0.03701163593077028,-0.03307400911967229,-0.009025610694789132
2013-01,-0.030307452322226647,-0.026991635372000444,-0.024196090880979848,0.000661152277442012
2013-02,0.006487864250097619,0.015684096299938277,0.025027055356899197,0.008936782772770213
2013-03,0.012516217118294204,0.030257835335407712,0.03656441735020488,-0.014963185585935124
